,,state,decision
4403,1983-05-01,0.0,0.0
4403,1983-06-01,0.0,0.0
4403,1983-07-01,1.0,0.0
4403,1983-08-01,2.0,0.0
4403,1983-09-01,3.0,0.0
4403,1983-10-01,4.0,0.0
4403,1983-11-01,5.0,0.0
4403,1983-12-01,5.0,0.0
4403,1984-01-01,6.0,0.0
4403,1984-02-01,7.0,0.0
4403,1984-03-01,8.0,0.0
4403,1984-04-01,9.0,0.0
4403,1984-05-01,10.0,0.0
4403,1984-06-01,11.0,0.0
4403,1984-07-01,12.0,0.0
4403,1984-08-01,13.0,0.0
4403,1984-09-01,14.0,0.0
4403,1984-10-01,15.0,0.0
4403,1984-11-01,15.0,0.0
4403,1984-12-01,16.0,0.0
4403,1985-01-01,17.0,0.0
4403,1985-02-01,18.0,0.0
4403,1985-03-01,18.0,0.0
4403,1985-04-01,19.0,0.0
4403,1985-05-01,20.0,0.0
4404,1983-05-01,0.0,0.0
4404,1983-06-01,0.0,0.0
4404,1983-07-01,0.0,0.0
4404,1983-08-01,0.0,0.0
4404,1983-09-01,1.0,0.0
4404,1983-10-01,2.0,0.0
4404,1983-11-01,3.0,0.0
4404,1983-12-01,4.0,0.0
4404,1984-01-01,5.0,0.0
4404,1984-02-01,5.0,0.0
4404,1984-03-01,6.0,0.0
4404,1984-04-01,7.0,0.0
4404,1984-05-01,8.0,0.0
4404,1984-06-01,9.0,0.0
4404,1984-07-01,10.0,0.0
4404,1984-08-01,11.0,0.0
4404,1984-09-01,12.0,0.0
4404,1984-10-01,13.0,0.0
4404,1984-11-01,14.0,0.0
4404,1984-12-01,15.0,0.0
4404,1985-01-01,16.0,0.0
4404,1985-02-01,17.0,0.0
4404,1985-03-01,18.0,0.0
4404,1985-04-01,19.0,0.0
4404,1985-05-01,19.0,0.0
4405,1983-05-01,0.0,0.0
4405,1983-06-01,0.0,0.0
4405,1983-07-01,1.0,0.0
4405,1983-08-01,2.0,0.0
4405,1983-09-01,3.0,0.0
4405,1983-10-01,4.0,0.0
4405,1983-11-01,4.0,0.0
4405,1983-12-01,5.0,0.0
4405,1984-01-01,6.0,0.0
4405,1984-02-01,7.0,0.0
4405,1984-03-01,8.0,0.0
4405,1984-04-01,9.0,0.0
4405,1984-05-01,10.0,0.0
4405,1984-06-01,11.0,0.0
4405,1984-07-01,12.0,0.0
4405,1984-08-01,13.0,0.0
4405,1984-09-01,14.0,0.0
4405,1984-10-01,15.0,0.0
4405,1984-11-01,16.0,0.0
4405,1984-12-01,17.0,0.0
4405,1985-01-01,18.0,0.0
4405,1985-02-01,19.0,0.0
4405,1985-03-01,19.0,0.0
4405,1985-04-01,20.0,0.0
4405,1985-05-01,21.0,0.0
4406,1983-05-01,0.0,0.0
4406,1983-06-01,0.0,0.0
4406,1983-07-01,1.0,0.0
4406,1983-08-01,1.0,0.0
4406,1983-09-01,2.0,0.0
4406,1983-10-01,3.0,0.0
4406,1983-11-01,3.0,0.0
4406,1983-12-01,4.0,0.0
4406,1984-01-01,5.0,0.0
4406,1984-02-01,5.0,0.0
4406,1984-03-01,5.0,0.0
4406,1984-04-01,5.0,0.0
4406,1984-05-01,5.0,0.0
4406,1984-06-01,6.0,0.0
4406,1984-07-01,6.0,0.0
4406,1984-08-01,7.0,0.0
